Repository,Method,Recall,Precision,F1,Important Recall,Routine Recall
ceph,ArcLog,0.7622,0.7793,0.7707,0.9200,0.7374
ceph,SmartNote,0.4063,0.7829,0.5349,0.5900,0.3774
ceph,TextRank,0.8546,0.2748,0.4159,0.7850,0.8656
ceph,VerLog,0.2391,0.8030,0.3685,0.4500,0.2060
dpdk,ArcLog,0.9637,0.7142,0.8204,0.9958,0.9355
dpdk,SmartNote,0.8900,0.6866,0.7752,0.9073,0.8747
dpdk,TextRank,0.2342,0.1296,0.1668,0.1853,0.2772
dpdk,VerLog,0.3218,0.7845,0.4564,0.3589,0.2891
jemalloc,ArcLog,0.9151,0.6748,0.7768,0.9489,0.8464
jemalloc,SmartNote,0.2052,0.6412,0.3109,0.2306,0.1536
jemalloc,TextRank,0.4021,0.2107,0.2765,0.3732,0.4607
jemalloc,VerLog,0.2347,0.9055,0.3727,0.2641,0.1750
openssl,ArcLog,0.9027,0.6101,0.7281,1.0000,0.8238
openssl,SmartNote,0.2290,0.6340,0.3364,0.2787,0.1886
openssl,TextRank,0.4272,0.1881,0.2612,0.3435,0.4951
openssl,VerLog,0.1340,0.8746,0.2323,0.1905,0.0881
zstd,ArcLog,0.8711,0.5038,0.6384,0.9310,0.7770
zstd,SmartNote,0.0947,0.5429,0.1613,0.1121,0.0676
zstd,TextRank,0.4053,0.1155,0.1798,0.3448,0.5000
zstd,VerLog,0.3816,0.7453,0.5048,0.3793,0.3851
