Repository,Variant,Top-section Accuracy,Important Module Accuracy,Routine Slot Accuracy,Overall Organization Accuracy
ceph,ArcLog-full,0.9874,0.8378,0.3886,0.4632
ceph,w/o Attribution Evidence,0.8574,0.4891,0.3362,0.3614
ceph,w/o Guided Aggregation,0.9831,0.4946,0.4049,0.4198
ceph,w/o Key Identification,0.8784,0.1958,0.4168,0.3798
dpdk,ArcLog-full,0.9918,0.7970,1.0000,0.9018
dpdk,w/o Attribution Evidence,0.7659,0.3655,0.7033,0.5397
dpdk,w/o Guided Aggregation,0.9685,0.2876,0.9366,0.6227
dpdk,w/o Key Identification,0.6815,0.1419,0.8775,0.5250
jemalloc,ArcLog-full,0.9768,0.8729,0.8565,0.8777
jemalloc,w/o Attribution Evidence,0.8013,0.4038,0.6364,0.5007
jemalloc,w/o Guided Aggregation,0.9768,0.3139,0.8263,0.5225
jemalloc,w/o Key Identification,0.6380,0.2648,0.7304,0.4266
openssl,ArcLog-full,1.0000,1.0000,1.0000,1.0000
openssl,w/o Attribution Evidence,0.8066,0.4766,0.6710,0.5946
openssl,w/o Guided Aggregation,0.9833,0.5861,0.9325,0.7823
openssl,w/o Key Identification,0.7079,0.2420,0.7852,0.5347
zstd,ArcLog-full,0.9699,0.8222,0.9391,0.8825
zstd,w/o Attribution Evidence,0.7631,0.3807,0.7965,0.5600
zstd,w/o Guided Aggregation,0.9578,0.4056,0.9391,0.6506
zstd,w/o Key Identification,0.6909,0.2360,0.8696,0.4939
