Repository,Method,Accuracy,Coverage,Readability,Conciseness,Structure Organization
ceph,ArchLog,4.25,4.70,4.83,4.27,4.17
ceph,SmartNote,3.92,3.45,3.98,3.70,2.99
ceph,TextRank,2.31,2.53,2.72,3.33,1.75
ceph,VerLog,4.60,2.94,3.42,3.37,3.00
dpdk,ArchLog,4.25,4.65,4.77,4.30,4.17
dpdk,SmartNote,4.05,3.42,4.03,3.67,3.08
dpdk,TextRank,2.30,2.62,2.62,3.18,1.83
dpdk,VerLog,4.65,2.85,3.40,3.33,2.97
jemalloc,ArchLog,4.25,4.78,4.77,4.35,4.18
jemalloc,SmartNote,4.03,3.45,3.98,3.75,2.93
jemalloc,TextRank,2.30,2.58,2.65,3.15,1.80
jemalloc,VerLog,4.68,2.90,3.52,3.37,3.00
openssl,ArchLog,4.27,4.75,4.82,4.23,4.25
openssl,SmartNote,3.98,3.48,4.03,3.78,2.97
openssl,TextRank,2.30,2.65,2.75,3.10,1.75
openssl,VerLog,4.73,2.86,3.42,3.30,2.97
zstd,ArchLog,4.33,4.77,4.82,4.20,4.23
zstd,SmartNote,4.01,3.55,3.97,3.75,3.03
zstd,TextRank,2.28,2.62,2.77,3.23,1.87
zstd,VerLog,4.68,2.90,3.45,3.28,3.07
