sample_rank,full_name,project_log,rich_evidence_url,strict_important_ordinary_split_reviewed,module_component_organization_reviewed,broad_typed_or_structured_reviewed
1,vercel/next.js,project_logs/001_vercel__next.js.md,https://github.com/vercel/next.js/releases/tag/v16.3.0-canary.52,no,no,yes
2,kubernetes/kubernetes,project_logs/002_kubernetes__kubernetes.md,https://raw.githubusercontent.com/kubernetes/kubernetes/master/CHANGELOG/CHANGELOG-1.4.md,yes,yes,yes
3,nodejs/node,project_logs/003_nodejs__node.md,https://raw.githubusercontent.com/nodejs/node/main/doc/changelogs/CHANGELOG_V4.md,yes,yes,yes
4,rust-lang/rust,project_logs/004_rust-lang__rust.md,https://raw.githubusercontent.com/rust-lang/rust/main/RELEASES.md,yes,yes,yes
5,supabase/supabase,project_logs/005_supabase__supabase.md,https://raw.githubusercontent.com/supabase/supabase/master/docker/CHANGELOG.md,no,yes,yes
6,bitcoin/bitcoin,project_logs/006_bitcoin__bitcoin.md,https://github.com/bitcoin/bitcoin/blob/master/doc/release-notes/release-notes-28.4.md,no,yes,yes
7,sveltejs/svelte,project_logs/007_sveltejs__svelte.md,https://raw.githubusercontent.com/sveltejs/svelte/main/packages/svelte/CHANGELOG-pre-5.md,yes,no,yes
8,elastic/elasticsearch,project_logs/008_elastic__elasticsearch.md,https://raw.githubusercontent.com/elastic/elasticsearch/main/docs/release-notes/index.md,yes,yes,yes
9,redis/redis,project_logs/009_redis__redis.md,https://github.com/redis/redis/releases/tag/8.8-rc1,yes,yes,yes
10,grafana/grafana,project_logs/010_grafana__grafana.md,https://raw.githubusercontent.com/grafana/grafana/main/CHANGELOG.md,yes,yes,yes
11,webpack/webpack,project_logs/011_webpack__webpack.md,https://raw.githubusercontent.com/webpack/webpack/main/CHANGELOG.md,no,no,yes
12,prometheus/prometheus,project_logs/012_prometheus__prometheus.md,https://raw.githubusercontent.com/prometheus/prometheus/main/CHANGELOG.md,no,no,yes
13,traefik/traefik,project_logs/013_traefik__traefik.md,https://raw.githubusercontent.com/traefik/traefik/master/CHANGELOG.md,no,yes,yes
14,FuelLabs/sway,project_logs/014_FuelLabs__sway.md,https://github.com/FuelLabs/sway/releases/tag/v0.71.0,yes,no,yes
15,withastro/astro,project_logs/015_withastro__astro.md,https://raw.githubusercontent.com/withastro/astro/main/scripts/CHANGELOG.md,no,no,yes
16,meilisearch/meilisearch,project_logs/016_meilisearch__meilisearch.md,https://github.com/meilisearch/meilisearch/releases/tag/v1.47.0,yes,yes,yes
17,coollabsio/coolify,project_logs/017_coollabsio__coolify.md,https://github.com/coollabsio/coolify/releases/tag/v4.1.0,yes,no,yes
18,koala73/worldmonitor,project_logs/018_koala73__worldmonitor.md,https://raw.githubusercontent.com/koala73/worldmonitor/main/CHANGELOG.md,yes,yes,yes
19,go-gitea/gitea,project_logs/019_go-gitea__gitea.md,https://raw.githubusercontent.com/go-gitea/gitea/main/CHANGELOG.md,no,yes,yes
20,gatsbyjs/gatsby,project_logs/020_gatsbyjs__gatsby.md,https://raw.githubusercontent.com/gatsbyjs/gatsby/master/packages/gatsby/CHANGELOG.md,no,yes,yes
21,JetBrains/kotlin,project_logs/021_JetBrains__kotlin.md,https://github.com/JetBrains/kotlin/releases/tag/v2.4.0,no,yes,yes
22,etcd-io/etcd,project_logs/022_etcd-io__etcd.md,https://raw.githubusercontent.com/etcd-io/etcd/main/CHANGELOG/CHANGELOG-3.4.md,yes,yes,yes
