sample_rank,candidate_rank,full_name,html_url,stars,forks,language,size_kb,default_branch,matched_domains,commit_count_estimate,evidence_type,evidence_url,evidence_title,heading_count,headings,strict_important_ordinary_split_reviewed,module_component_organization_reviewed,broad_typed_or_structured_reviewed,both_strict_important_and_module_reviewed,both_broad_structure_and_module_reviewed,rich_evidence_found,rich_evidence_type,rich_evidence_url,rich_evidence_title,rich_evidence_score,rich_heading_count,rich_bullet_count,rich_text_len,rich_headings
1,4,vercel/next.js,https://github.com/vercel/next.js,140075,31229,JavaScript,2492726,canary,compiler,34391,github_release,https://github.com/vercel/next.js/releases/tag/v16.3.0-canary.56,v16.3.0-canary.56,3,v16.3.0-canary.56 | Misc Changes | Credits,no,no,yes,no,no,yes,github_release,https://github.com/vercel/next.js/releases/tag/v16.3.0-canary.52,v16.3.0-canary.52,39.5,4,13,1151,v16.3.0-canary.52 | Core Changes | Misc Changes | Credits
2,6,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,123073,43228,Go,1480083,master,kubernetes,138635,github_release,https://github.com/kubernetes/kubernetes/releases/tag/v1.36.2,v1.36.2,1,v1.36.2,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/kubernetes/kubernetes/master/CHANGELOG/CHANGELOG-1.4.md,CHANGELOG/CHANGELOG-1.4.md,140,77,719,136717,"v1.4.12 | Downloads for v1.4.12 | Client Binaries | Server Binaries | Node Binaries | Changelog since v1.4.9 | Other notable changes | v1.4.9 | Downloads for v1.4.9 | Changelog since v1.4.8 | v1.4.8 | Downloads for v1.4.8 | Changelog since v1.4.7 | v1.4.7 | Downloads for v1.4.7 | Changelog since v1.4.6 | v1.4.6 | Downloads for v1.4.6 | Changelog since v1.4.5 | v1.4.5 | Downloads for v1.4.5 | Changelog since v1.4.4 | v1.4.4 | Downloads for v1.4.4 | Changelog since v1.4.3 | v1.4.3 | Downloads | Changelog since v1.4.2-beta.1 | v1.4.2 | v1.4.2-beta.1 | Changelog since v1.4.1 | v1.4.1 | Changelog since v1.4.1-beta.2 | v1.4.1-beta.2 | Changelog since v1.4.0 | v1.4.0 | Major Themes | Features | Known Issues | Notable Changes to Existing Behavior | Deployments | kubectl rolling-update: =v1.4.0 cluster | kubectl delete: =v1.4.0 cluster | DELETE operation in REST API | Action Required Before Upgrading | optionally, remove the old secret | Previous Releases Included in v1.4.0 | v1.4.0-beta.11 | Changelog since v1.4.0-beta.10 | v1.4.0-beta.10"
3,7,nodejs/node,https://github.com/nodejs/node,117822,35709,JavaScript,1498757,main,runtime,47137,github_release,https://github.com/nodejs/node/releases/tag/v26.3.0,"2026-06-01, Version 26.3.0 (Current), @aduh95",5,"2026-06-01, Version 26.3.0 (Current), @aduh95 | Notable Changes | Potential changes to macOS Universal Binary availability | Other notable changes | Commits",yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/nodejs/node/main/doc/changelogs/CHANGELOG_V4.md,doc/changelogs/CHANGELOG_V4.md,175,22,1376,250000,"Node.js 4 ChangeLog | 2018-03-29, Version 4.9.1 'Argon' (Maintenance), @MylesBorins | Notable Changes | 2018-03-28, Version 4.9.0 'Argon' (Maintenance), @MylesBorins | Commits | 2017-12-08, Version 4.8.7 'Argon' (Maintenance), @MylesBorins | 2017-11-07, Version 4.8.6 'Argon' (Maintenance), @MylesBorins | 2017-10-24, Version 4.8.5 'Argon' (Maintenance), @MylesBorins | 2017-07-11, Version 4.8.4 'Argon' (Maintenance), @MylesBorins | 2017-05-02, Version 4.8.3 'Argon' (Maintenance), @MylesBorins | 2017-04-04, Version 4.8.2 'Argon' (Maintenance), @MylesBorins | 2017-03-21, Version 4.8.1 'Argon' (LTS), @MylesBorins | 2017-02-21, Version 4.8.0 'Argon' (LTS), @MylesBorins | 2017-01-31, Version 4.7.3 'Argon' (LTS), @MylesBorins | 2017-01-05, Version 4.7.2 'Argon' (LTS), @MylesBorins | 2017-01-03, Version 4.7.1 'Argon' (LTS), @MylesBorins | 2016-12-06, Version 4.7.0 'Argon' (LTS), @thealphanerd | 2016-11-08, Version 4.6.2 'Argon' (LTS), @thealphanerd | 2016-10-18, Version 4.6.1 'Argon' (LTS), @rvagg | 2016-09-27, Version 4.6.0 'Argon' (LTS), @rvagg | 2016-08-15, Version 4.5.0 'Argon' (LTS), @thealphanerd | 2016-06-28, Version 4.4.7 'Argon' (LTS), @thealphanerd"
4,8,rust-lang/rust,https://github.com/rust-lang/rust,113932,14985,Rust,922406,main,compiler,329924,github_release,https://github.com/rust-lang/rust/releases/tag/1.96.0,Rust 1.96.0,9,Rust 1.96.0 | Language | Compiler | Libraries | Stabilized APIs | Cargo | Rustdoc | Compatibility Notes | Internal Changes,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/rust-lang/rust/main/RELEASES.md,RELEASES.md,175,49,1772,250000,"Version 1.96.0 (2026-05-28) | Language | Compiler | Libraries | Stabilized APIs | Cargo | Rustdoc | Compatibility Notes | Internal Changes | Version 1.95.0 (2026-04-16) | Platform Support | Version 1.94.1 (2026-03-26) | Version 1.94.0 (2026-03-05) | Version 1.93.1 (2026-02-12) | Version 1.93.0 (2026-01-22) | Version 1.92.0 (2025-12-11) | Version 1.91.1 (2025-11-10) | Version 1.91.0 (2025-10-30) | Version 1.90.0 (2025-09-18) | Version 1.89.0 (2025-08-07) | Version 1.88.0 (2025-06-26) | Version 1.87.0 (2025-05-15) | Version 1.86.0 (2025-04-03) | Version 1.85.1 (2025-03-18) | Version 1.85.0 (2025-02-20) | Version 1.84.1 (2025-01-30) | Version 1.84.0 (2025-01-09) | Version 1.83.0 (2024-11-28) | Until now, paths into the sysroot were always prefixed with `/rustc/$hash` in diagnostics, codegen, backtrace, e.g. | note: Some details are omitted, run with `RUST_BACKTRACE=full` for a verbose backtrace. | Version 1.82.0 (2024-10-17) | Version 1.81.0 (2024-09-05) | Version 1.80.1 (2024-08-08) | Version 1.80.0 (2024-07-25) | Version 1.79.0 (2024-06-13) | Misc | Version 1.78.0 (2024-05-02) | Version 1.77.2 (2024-04-09) | Version 1.77.1 (2024-03-28) | Version 1.77.0 (2024-03-21) | Version 1.76.0 (2024-02-08) | Version 1.75.0 (2023-12-28) | Version 1.74.1 (2023-12-07) | Version 1.74.0 (2023-11-16) | Version 1.73.0 (2023-10-05) | Version 1.72.1 (2023-09-19) | Version 1.72.0 (2023-08-24) | Version 1.71.1 (2023-08-03) | Version 1.71.0 (2023-07-13)"
5,9,supabase/supabase,https://github.com/supabase/supabase,104418,12768,TypeScript,2387868,master,database,36902,github_release,https://github.com/supabase/supabase/releases/tag/v1.26.05,Developer Update - May 2026,10,Developer Update - May 2026 | Custom OAuth/OIDC providers for Supabase Auth | New tables in the public schema are no longer auto-exposed to the Data API | Supabase is now ISO 27001 certified | Stripe Sync Engine moves to Stripe | Supabase brand survey | @supabase/server | Quick Product Announcements | Made with Supabase | Community Highlights,no,yes,yes,no,yes,yes,repo_file,https://raw.githubusercontent.com/supabase/supabase/master/docker/CHANGELOG.md,docker/CHANGELOG.md,137.36,42,218,36585,Changelog | Unreleased | [2026-06-17] | Configuration | Documentation | Utils and tests | API gateway | Studio | PostgREST | Postgres Meta | Edge Runtime | Postgres | [2026-06-03] | Utils | Auth | Realtime | Storage | Supavisor | Analytics (Logflare) | [2026-04-27] | [2026-04-08] | imgproxy | [2026-03-16] | MCP Server | [2026-02-18] | [2026-02-16] | Vector | [2026-02-05] | [2026-01-27] | [2025-12-18] | [2025-12-10] | [2025-12-08] | [2025-11-26] | [2025-11-25] | [2025-11-17] | [2025-11-12] | [2025-11-05] | [2025-10-28] | [2025-10-27] | [2025-10-21] | [2025-10-13] | [2025-10-08]
6,11,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,89465,39003,C++,317599,master,cryptography,49335,github_release,https://github.com/bitcoin/bitcoin/releases/tag/v31.0,Bitcoin Core 31.0,1,Bitcoin Core 31.0,no,yes,yes,no,yes,yes,external_link_from_github_release,https://github.com/bitcoin/bitcoin/blob/master/doc/release-notes/release-notes-28.4.md,https://github.com/bitcoin/bitcoin/blob/master/doc/release-notes/release-notes-28.4.md,90.0,10,0,250000,"Navigation Menu | Search code, repositories, users, issues, pull requests... | Provide feedback | Saved searches | Use saved searches to filter your results more quickly | Files Expand file tree | Breadcrumbs | release-notes-28.4.md | Latest commit | History"
7,12,sveltejs/svelte,https://github.com/sveltejs/svelte,87301,4946,JavaScript,121364,main,compiler,11255,github_release,https://github.com/sveltejs/svelte/releases/tag/svelte%405.56.2,svelte@5.56.2,2,svelte@5.56.2 | Patch Changes,yes,no,yes,no,no,yes,repo_file,https://raw.githubusercontent.com/sveltejs/svelte/main/packages/svelte/CHANGELOG-pre-5.md,packages/svelte/CHANGELOG-pre-5.md,140,80,1558,182618,svelte | 4.2.3 | Patch Changes | 4.2.2 | 4.2.1 | 4.2.0 | Minor Changes | 4.1.2 | 4.1.1 | 4.1.0 | 4.0.5 | 4.0.4 | 4.0.3 | 4.0.2 | 4.0.1 | 4.0.0 | Major Changes | 4.0.0-next.3 | 4.0.0-next.2 | 4.0.0-next.1 | 4.0.0-next.0 | 3.59.2 | 3.59.1 | 3.59.0 | 3.58.0 | 3.57.0 | 3.56.0 | 3.55.1 | 3.55.0 | 3.54.0 | 3.53.1 | 3.53.0 | 3.52.0 | 3.51.0 | 3.50.1 | 3.50.0 | 3.49.0 | 3.48.0 | 3.47.0 | 3.46.6 | 3.46.5 | 3.46.4 | 3.46.3 | 3.46.2 | 3.46.1 | 3.46.0 | 3.45.0 | 3.44.3 | 3.44.2 | 3.44.1
8,16,elastic/elasticsearch,https://github.com/elastic/elasticsearch,77023,25837,Java,1665499,main,search-engine,101466,repo_file,https://raw.githubusercontent.com/elastic/elasticsearch/main/CHANGELOG.md,CHANGELOG.md,1,Elasticsearch Changelog,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/elastic/elasticsearch/main/docs/release-notes/index.md,docs/release-notes/index.md,175,80,1512,250000,Elasticsearch release notes [elasticsearch-release-notes] | 9.4.2 [elasticsearch-9.4.2-release-notes] | Features and enhancements [elasticsearch-9.4.2-features-enhancements] | Fixes [elasticsearch-9.4.2-fixes] | 9.3.5 [elasticsearch-9.3.5-release-notes] | Features and enhancements [elasticsearch-9.3.5-features-enhancements] | Fixes [elasticsearch-9.3.5-fixes] | 9.4.1 [elasticsearch-9.4.1-release-notes] | Features and enhancements [elasticsearch-9.4.1-features-enhancements] | Fixes [elasticsearch-9.4.1-fixes] | 9.4.0 [elasticsearch-9.4.0-release-notes] | Highlights [elasticsearch-9.4.0-highlights] | Features and enhancements [elasticsearch-9.4.0-features-enhancements] | Fixes [elasticsearch-9.4.0-fixes] | 9.3.4 [elasticsearch-9.3.4-release-notes] | Features and enhancements [elasticsearch-9.3.4-features-enhancements] | Fixes [elasticsearch-9.3.4-fixes] | 9.2.8 [elasticsearch-9.2.8-release-notes] | Features and enhancements [elasticsearch-9.2.8-features-enhancements] | Fixes [elasticsearch-9.2.8-fixes] | 9.3.3 [elasticsearch-9.3.3-release-notes] | Features and enhancements [elasticsearch-9.3.3-features-enhancements] | Fixes [elasticsearch-9.3.3-fixes] | 9.2.7 [elasticsearch-9.2.7-release-notes] | Features and enhancements [elasticsearch-9.2.7-features-enhancements] | Fixes [elasticsearch-9.2.7-fixes] | 9.3.2 [elasticsearch-9.3.2-release-notes] | Features and enhancements [elasticsearch-9.3.2-features-enhancements] | Fixes [elasticsearch-9.3.2-fixes] | 9.2.6 [elasticsearch-9.2.6-release-notes] | Features and enhancements [elasticsearch-9.2.6-features-enhancements] | Fixes [elasticsearch-9.2.6-fixes] | 9.3.1 [elasticsearch-9.3.1-release-notes] | Features and enhancements [elasticsearch-9.3.1-features-enhancements] | Fixes [elasticsearch-9.3.1-fixes] | 9.3.0 [elasticsearch-9.3.0-release-notes] | Highlights [elasticsearch-9.3.0-highlights] | Features and enhancements [elasticsearch-9.3.0-features-enhancements] | Fixes [elasticsearch-9.3.0-fixes] | 9.2.5 [elasticsearch-9.2.5-release-notes] | Features and enhancements [elasticsearch-9.2.5-features-enhancements] | Fixes [elasticsearch-9.2.5-fixes] | 9.1.10 [elasticsearch-9.1.10-release-notes] | Features and enhancements [elasticsearch-9.1.10-features-enhancements] | Fixes [elasticsearch-9.1.10-fixes] | 9.2.4 [elasticsearch-9.2.4-release-notes] | Features and enhancements [elasticsearch-9.2.4-features-enhancements] | Fixes [elasticsearch-9.2.4-fixes] | 9.1.9 [elasticsearch-9.1.9-release-notes] | Features and enhancements [elasticsearch-9.1.9-features-enhancements]
9,17,redis/redis,https://github.com/redis/redis,74927,24675,C,213768,unstable,database;distributed-systems;message-queue,13134,github_release,https://github.com/redis/redis/releases/tag/8.6.4,8.6.4,2,8.6.4 | Bug fixes,yes,yes,yes,yes,yes,yes,github_release,https://github.com/redis/redis/releases/tag/8.8-rc1,8.8-RC1,151.15,11,75,8099,8.8-RC1 | Headlines: | Operating systems we test Redis 8.8 on | Security fixes (compared to 8.8-M03) | New Features (compared to 8.8-M03) | Removed Features (compared to 8.8-M03) | Bug fixes (compared to 8.8-M03) | Performance and resource utilization improvements (compared to 8.8-M03) | Configuration parameters | Metrics (compared to 8.8-M03) | CLI tools
10,19,grafana/grafana,https://github.com/grafana/grafana,74481,14071,TypeScript,1811477,main,monitoring,70112,github_release,https://github.com/grafana/grafana/releases/tag/v12.4.4,12.4.4,3,12.4.4 | Features and enhancements | Bug fixes,yes,yes,yes,yes,yes,yes,repo_file,https://raw.githubusercontent.com/grafana/grafana/main/CHANGELOG.md,CHANGELOG.md,175,80,1576,250000,12.3.6+security-04 (2026-05-12) | Bug fixes | 13.0.1+security-01 (2026-05-12) | 12.4.3+security-02 (2026-05-12) | 12.2.8+security-04 (2026-05-12) | 11.6.14+security-04 (2026-05-12) | 13.0.1 (2026-04-17) | Features and enhancements | 12.4.3 (2026-04-14) | 13.0.0 (2026-04-14) | Breaking changes | Plugin development fixes & changes | 12.3.6+security-01 (2026-03-25) | 12.2.8+security-01 (2026-03-25) | 12.1.10+security-01 (2026-03-25) | 11.6.14+security-01 (2026-03-25) | 12.4.2 (2026-03-25) | 12.3.6 (2026-03-25) | 12.2.8 (2026-03-25) | 12.1.10 (2026-03-25) | 11.6.14 (2026-03-25) | 12.4.1 (2026-03-09) | 12.3.5 (2026-03-09) | 12.2.7 (2026-03-09) | 12.1.9 (2026-03-09) | 11.6.13 (2026-03-09) | 12.4.0 (2026-02-24) | 12.3.4 (2026-02-24) | 12.2.6 (2026-02-24) | 12.1.8 (2026-02-24) | 11.6.12 (2026-02-24) | 11.6.11 (2026-02-12) | 12.0.10 (2026-02-12) | 12.1.7 (2026-02-12) | 12.2.5 (2026-02-12) | 12.3.3 (2026-02-12) | 12.3.2+security-01 (2026-02-11) | 12.2.4+security-01 (2026-02-11) | 12.1.6+security-01 (2026-02-11) | 11.6.10+security-01 (2026-02-11) | 12.3.2 (2026-01-27) | 12.2.4 (2026-01-27) | 12.1.6 (2026-01-27) | 12.0.9 (2026-01-27) | 11.6.10 (2026-01-27) | 12.3.1+security-01 (2026-01-27) | 12.2.3+security-01 (2026-01-27) | 12.1.5+security-01 (2026-01-27) | 12.0.8+security-01 (2026-01-27) | 11.6.9+security-01 (2026-01-27)
